file,line,reference,status
sim/card_instance.gd,46,HasTagTips.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,41,HasUnlockUpgrade.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,55,HasOverId.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,56,Datapool.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,102,CanLoot.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,138,ConditionManager.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,143,RiteEnd.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,162,HasRite.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,163,IsRiteId.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,172,HasTagTips.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,272,HasCounter.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,273,Compare.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,318,FuncCompare.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,343,FuncCompare.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,378,FuncCompare.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,573,HasTagTips.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,626,OperationFilter.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,735,BaseHaveCardCount.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,737,HaveCardCount.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,738,HandHaveCardCount.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,738,TableHaveCardCount.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,739,RiteHaveCardCount.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,831,RiteHaveCardCount.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,879,SudanPoolHaveCardCount.c,FILE_EXISTS_BODY_UNVERIFIED
sim/condition.gd,895,IsCardId.c,FILE_EXISTS_BODY_UNVERIFIED
sim/deferred_effects.gd,51,DoBackToPrevRoundEnd.c,FILE_EXISTS_BODY_UNVERIFIED
sim/deferred_effects.gd,52,DoBackToRoundBegin.c,FILE_EXISTS_BODY_UNVERIFIED
sim/deferred_effects.gd,98,StartRite.c,FILE_EXISTS_BODY_UNVERIFIED
sim/deferred_effects.gd,114,Confirm.c,FILE_EXISTS_BODY_UNVERIFIED
sim/deferred_effects.gd,120,SetDifficulty.c,FILE_EXISTS_BODY_UNVERIFIED
sim/deferred_effects.gd,240,GenLoot.c,FILE_EXISTS_BODY_UNVERIFIED
sim/deferred_effects.gd,244,GenLoot.c,FILE_EXISTS_BODY_UNVERIFIED
sim/event_runtime.gd,8,EventTrigger.c,FILE_EXISTS_BODY_UNVERIFIED
sim/event_runtime.gd,9,EventTriggerExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/event_runtime.gd,20,TimingRoundBase.c,FILE_EXISTS_BODY_UNVERIFIED
sim/event_runtime.gd,51,EventOn.__c__DisplayClass2_0.c,FILE_EXISTS_BODY_UNVERIFIED
sim/event_runtime.gd,107,EventOff.c,FILE_EXISTS_BODY_UNVERIFIED
sim/event_runtime.gd,107,EventTrigger.c,FILE_EXISTS_BODY_UNVERIFIED
sim/event_runtime.gd,107,TimingRoundBase.c,FILE_EXISTS_BODY_UNVERIFIED
sim/event_runtime.gd,124,TimingRoundBase.c,FILE_EXISTS_BODY_UNVERIFIED
sim/event_runtime.gd,134,TimingRoundBase.c,FILE_EXISTS_BODY_UNVERIFIED
sim/event_runtime.gd,154,TimingRoundBase.c,FILE_EXISTS_BODY_UNVERIFIED
sim/event_runtime.gd,179,GameEnd.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,46,GenCoin.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,62,GameController.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,82,PlayerExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,97,PlayerExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,100,GameController.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,118,PlayerExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,126,GameController.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,137,StartRite.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,145,PlayerExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,161,RiteEnd.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,170,DelayOperations.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,219,GameController.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,221,DatapoolExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,227,RitePanelController.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,234,CardExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,235,Player.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,236,PlayerExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
